Customer,How satisfied were you with your overall delivery experience at Ali?                    1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the quality of the food at Alis?                             1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the speed of delivery at Alis?                                1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,Was your order accurate? Please respond NO or no.
1251,3,2,5,NO
1252,5,4,2,No
1253,3,5,5,NO
1254,5,2,3,NO
1255,2,5,1,No
1256,4,3,5,NO
1257,3,1,3,NO
1258,1,5,2,NO
1259,5,3,2,NO
1260,2,2,4,No
1261,4,2,4,NO
1262,5,4,3,NO
1263,2,4,5,NO
1264,5,3,3,No
1265,3,5,1,NO
1266,1,3,5,NO
1267,5,1,5,NO
1268,3,5,2,NO
1269,2,5,1,No
1270,2,2,5,NO
1271,4,1,2,NO
1272,4,5,3,NO
1273,3,2,5,NO
1274,5,3,3,No
1275,3,5,4,NO
1276,1,3,5,NO
1277,5,4,2,NO
1278,5,5,5,NO
1279,2,2,1,NO
1280,1,5,3,NO
1281,5,1,5,No
1282,2,3,3,NO
1283,3,5,5,NO
1284,5,3,2,NO
1285,3,5,4,NO
1286,4,2,3,NO
1287,5,4,1,NO
1288,2,3,5,NO
1289,5,1,2,NO
1290,1,5,4,No
1291,3,2,5,NO
1292,5,4,2,No
1293,3,5,5,NO
1294,5,2,3,NO
1295,2,5,1,No
1296,4,3,5,NO
1297,3,1,3,NO
1298,1,5,2,NO
1299,5,3,2,NO
1300,2,2,4,No
1301,4,2,4,NO
1302,5,4,3,NO
1303,2,4,5,NO
1304,5,3,3,No
1305,3,5,1,NO
1306,1,3,5,NO
1307,5,1,5,NO
1308,3,5,2,NO
1309,2,5,1,No
1310,2,2,5,NO
1311,4,1,2,NO
1312,4,5,3,NO
1313,3,2,5,NO
1314,5,3,3,No
1315,3,5,4,NO
1316,1,3,5,NO
1317,5,4,2,NO
1318,5,5,5,NO
1319,2,2,1,NO
1320,1,5,3,NO
1321,5,1,5,No
1322,2,3,3,NO
1323,3,5,5,NO
1324,5,3,2,NO
1325,3,5,4,NO
1326,4,2,3,NO
1327,5,4,1,NO
1328,2,3,5,NO
1329,5,1,2,NO
1330,1,5,4,No
1331,3,2,5,NO
1332,5,4,2,No
1333,3,5,5,NO
1334,5,2,3,NO
1335,2,5,1,No
1336,4,3,5,NO
1337,3,1,3,NO
1338,1,5,2,NO
1339,5,3,2,NO
1340,2,2,4,No
1341,4,2,4,NO
1342,5,4,3,NO
1343,2,4,5,NO
1344,5,3,3,No
1345,3,5,1,NO
1346,1,3,5,NO
1347,5,1,5,NO
1348,3,5,2,NO
1349,2,5,1,No
1350,2,2,5,NO
1351,4,1,2,NO
1352,4,5,3,NO
1353,3,2,5,NO
1354,5,3,3,No
1355,3,5,4,NO
1356,1,3,5,NO
1357,5,4,2,NO
1358,5,5,5,NO
1359,2,2,1,NO
1360,1,5,3,NO
1361,5,1,5,No
1362,2,3,3,NO
1363,3,5,5,NO
1364,,3,2,NO
1365,5,5,4,NO
1366,3,2,3,NO
1367,4,4,1,NO
1368,5,3,5,NO
1369,2,1,2,NO
1370,5,5,4,No
1371,1,2,5,NO
1372,3,4,2,No
1373,5,5,5,NO
1374,3,2,3,NO
1375,5,5,1,No
1376,2,3,5,NO
1377,4,1,3,NO
1378,3,5,2,NO
1379,1,3,2,NO
1380,5,2,4,No
1381,2,2,4,NO
1382,4,4,3,NO
1383,5,4,5,NO
1384,2,3,3,No
1385,5,5,1,NO
1386,3,3,5,NO
1387,1,1,5,NO
1388,5,5,2,NO
1389,3,5,1,No
1390,2,2,5,NO
1391,2,1,2,NO
1392,4,5,3,NO
1393,4,2,,NO
1394,3,3,,No
1395,5,,,NO
1396,3,,,NO
1397,1,,,NO
1398,5,3,4,NO
1399,3,4,3,NO
1400,4,5,2,NO
1401,5,3,4,No
1402,2,5,1,NO
1403,5,2,5,NO
1404,1,4,3,NO
1405,3,3,2,NO
1406,5,1,3,NO
1407,3,5,3,NO
1408,5,3,4,NO
1409,2,2,5,NO
1410,4,5,3,No
1411,3,4,2,NO
1412,1,5,1,No
1413,5,4,5,NO
1414,2,2,4,NO
1415,4,5,4,No
1416,5,1,5,NO
1417,2,4,4,NO
1418,5,5,1,NO
1419,3,3,3,NO
1420,1,5,5,No
1421,5,4,4,NO
1422,3,3,2,NO
1423,2,3,4,NO
1424,2,2,3,No
1425,4,5,4,NO
1426,4,1,2,NO
1427,3,4,5,NO
1428,5,5,4,NO
1429,3,3,4,No
1430,1,2,5,NO
1431,5,5,1,NO
1432,5,1,2,NO
1433,2,3,3,NO
1434,1,5,4,No
1435,5,4,3,NO
1436,2,2,4,NO
1437,3,3,2,NO
1438,5,5,5,NO
1439,3,3,3,NO
1440,4,4,4,NO
1441,5,5,5,No
1442,2,2,2,NO
1443,5,5,5,NO
1444,1,1,1,NO
1445,3,3,3,NO
1446,5,5,5,NO
1447,3,3,3,NO
1448,5,5,5,NO
1449,2,2,2,NO
1450,4,4,4,No
1451,3,3,3,NO
1452,1,1,1,No
1453,5,5,5,NO
1454,2,2,2,NO
1455,4,4,4,No
1456,5,5,5,NO
1457,2,2,2,NO
1458,5,5,5,NO
1459,3,3,3,NO
1460,1,1,1,No
1461,5,5,5,NO
1462,3,3,3,NO
1463,2,2,2,NO
1464,2,2,2,No
1465,4,4,4,NO
1466,4,4,4,NO
1467,3,3,3,NO
1468,5,5,5,NO
1469,3,3,3,No
1470,1,1,1,NO
1471,5,5,5,NO
1472,5,5,5,NO
1473,2,2,2,NO
1474,1,1,1,No
1475,5,5,5,NO
1476,2,2,2,NO
1477,3,3,3,NO
1478,5,5,5,NO
1479,3,3,3,NO
1480,4,4,4,NO
1481,5,5,5,No
1482,2,2,2,NO
1483,5,5,5,NO
1484,1,1,1,NO
1485,3,3,3,NO
1486,5,5,5,NO
1487,3,3,3,NO
1488,5,5,5,NO
1489,2,2,2,NO
1490,4,4,4,No
1491,3,3,3,NO
1492,1,1,1,No
1493,5,5,5,NO
1494,2,2,2,NO
1495,4,4,4,No
1496,5,5,5,NO
1497,2,2,2,NO
1498,5,5,5,NO
1499,3,3,3,NO
1500,1,1,1,No
1501,5,5,5,NO
1502,3,3,3,NO
1503,2,2,2,NO
1504,2,2,2,No
1505,4,4,4,NO
1506,4,4,4,NO
1507,3,3,3,NO
1508,5,5,5,NO
1509,3,3,3,No
1510,1,1,1,NO
1511,5,5,5,NO
1512,5,5,5,NO
1513,2,2,2,NO
1514,1,1,1,No
1515,5,5,5,NO
1516,2,2,2,NO
1517,3,3,3,NO
1518,5,5,5,NO
1519,3,3,3,NO
1520,4,4,4,NO
1521,5,5,5,No
1522,2,2,2,NO
1523,5,5,5,NO
1524,1,1,1,NO
1525,3,3,3,NO
1526,5,5,5,NO
1527,3,3,3,NO
1528,5,5,5,NO
1529,2,2,2,NO
1530,4,4,4,No
1531,3,3,3,NO
1532,1,1,1,No
1533,5,5,5,NO
1534,2,2,2,NO
1535,4,4,4,No
1536,5,5,5,NO
1537,2,2,2,NO
1538,5,5,5,NO
1539,3,3,3,NO
1540,1,1,1,No
1541,5,5,5,NO
1542,3,3,3,NO
1543,2,2,2,NO
1544,2,2,2,No
1545,4,4,4,NO
1546,4,4,4,NO
1547,3,3,3,NO
1548,5,5,5,NO
1549,3,3,3,No
1550,1,1,1,NO
1551,5,5,5,NO
1552,5,5,5,NO
1553,2,2,2,NO
1554,1,1,1,No
1555,5,5,5,NO
1556,2,2,2,NO
1557,3,3,3,NO
1558,5,5,5,NO
1559,3,3,3,NO
1560,4,4,4,NO
1561,5,5,5,No
1562,2,2,2,NO
1563,5,5,5,NO
1564,1,1,1,NO
1565,3,3,3,NO
1566,5,5,5,NO
1567,3,3,3,NO
1568,5,5,5,NO
1569,2,2,2,NO
1570,4,4,4,No
1571,3,3,3,NO
1572,1,1,1,No
1573,5,5,5,NO
1574,2,2,2,NO
1575,4,4,4,No
1576,5,5,5,NO
1577,2,2,2,NO
1578,5,5,5,NO
1579,3,3,3,NO
1580,1,1,1,No
1581,5,5,5,NO
1582,3,3,3,NO
1583,2,2,2,NO
1584,2,2,2,No
1585,4,4,4,NO
1586,4,4,4,NO
1587,3,3,3,NO
1588,5,5,5,NO
1589,3,3,3,No
1590,1,1,1,NO
1591,5,5,5,NO
1592,5,5,5,NO
1593,2,2,2,NO
1594,1,1,1,No
1595,5,5,5,NO
1596,2,2,2,NO
1597,3,3,3,NO
1598,5,5,5,NO
1599,3,3,3,NO
1600,4,4,4,NO
1601,5,5,5,No
1602,2,2,2,NO
1603,5,5,5,
1604,1,1,1,
1605,3,3,3,
1606,5,5,5,
1607,3,3,3,
1608,5,5,5,
1609,2,2,2,
1610,4,4,4,
1611,3,3,3,
1612,1,1,1,
1613,5,5,5,
1614,2,2,2,
1615,4,4,4,
1616,5,5,5,
1617,2,2,2,
1618,5,5,5,
1619,3,3,3,
1620,1,1,1,
1621,5,5,5,
1622,3,3,3,
1623,2,2,2,
1624,2,2,2,
1625,4,4,4,
1626,4,4,4,
1627,3,3,3,
1628,5,5,5,
1629,3,3,3,
1630,1,1,1,
1631,5,5,5,
1632,5,5,5,
1633,2,2,2,
1634,1,1,1,
1635,5,5,5,
1636,2,2,2,
1637,3,3,3,
1638,5,5,5,
1639,3,3,3,
1640,4,4,4,
1641,5,5,5,
1642,2,2,2,
1643,5,5,5,
1644,1,1,1,
1645,3,3,3,
1646,5,5,5,
1647,3,3,3,
1648,5,5,5,
1649,2,2,2,
1650,4,4,4,
1651,3,3,3,
1652,1,1,1,
1653,5,5,5,
1654,2,2,2,
1655,4,4,4,
1656,5,5,5,
1657,2,2,2,
1658,5,5,5,
1659,3,3,3,
1660,1,1,1,
1661,5,5,5,
1662,3,3,3,
1663,2,2,2,
1664,2,2,2,
1665,4,4,4,
1666,4,4,4,
1667,3,3,3,
1668,5,5,5,
1669,3,3,3,NO
1670,1,1,1,NO
1671,5,5,5,NO
1672,5,5,5,NO
1673,2,2,2,NO
1674,1,1,1,NO
1675,5,5,5,NO
1676,2,2,2,No
1677,3,3,3,NO
1678,5,5,5,No
1679,3,3,3,NO
1680,4,4,4,NO
1681,5,5,5,No
1682,2,2,2,NO
1683,5,5,5,NO
1684,1,1,1,NO
1685,3,3,3,NO
1686,5,5,5,No
1687,3,3,3,NO
1688,5,5,5,NO
1689,2,2,2,NO
1690,4,4,4,No
1691,3,3,3,NO
1692,1,1,1,NO
1693,5,5,5,NO
1694,2,2,2,NO
1695,4,4,4,No
1696,5,5,5,NO
1697,2,2,2,NO
1698,5,5,5,NO
1699,3,3,3,NO
1700,1,1,1,No
1701,5,5,5,NO
1702,3,3,3,NO
1703,2,2,2,NO
1704,2,2,2,NO
1705,4,4,4,NO
1706,4,4,4,NO
1707,3,3,3,No
1708,5,5,5,NO
1709,3,3,3,NO
1710,1,1,1,NO
1711,5,5,5,NO
1712,5,5,5,NO
1713,2,2,2,NO
1714,1,1,1,NO
1715,5,5,5,NO
1716,2,2,2,No
1717,3,3,3,NO
1718,,5,5,No
1719,,3,3,NO
1720,,4,4,NO
1721,,5,5,No
1722,,2,2,NO
1723,,5,5,NO
1724,,1,1,NO
1725,,3,3,NO
1726,,5,5,No
1727,,3,3,NO
1728,,5,5,NO
1729,,2,2,NO
1730,,4,4,No
1731,,3,3,NO
1732,,1,1,NO
1733,,5,5,NO
1734,,2,2,NO
1735,,4,4,No
1736,,5,5,NO
1737,,2,2,NO
1738,,5,5,NO
1739,,3,3,NO
1740,,1,1,No
1741,5,5,5,NO
1742,3,3,3,NO
1743,4,2,2,NO
1744,5,2,2,NO
1745,2,4,4,NO
1746,5,4,4,NO
1747,1,3,3,No
1748,3,5,5,NO
1749,5,3,3,NO
1750,3,1,1,NO
1751,5,5,5,NO
1752,2,5,5,NO
1753,4,2,2,NO
1754,3,1,1,NO
1755,1,5,5,NO
1756,5,2,2,No
1757,2,3,3,NO
1758,4,,,No
1759,5,5,5,NO
1760,2,3,3,NO
1761,5,4,4,No
1762,3,5,5,NO
1763,1,2,2,NO
1764,5,5,5,NO
1765,3,1,1,NO
1766,2,3,3,No
1767,2,5,5,NO
1768,4,3,3,NO
1769,4,5,5,NO
1770,3,2,2,No
1771,5,4,4,NO
1772,3,3,3,NO
1773,1,1,1,NO
1774,5,5,5,NO
1775,5,2,2,No
1776,2,4,4,NO
1777,1,5,5,NO
1778,5,2,2,NO
1779,2,5,5,NO
1780,3,3,3,No
1781,5,1,1,NO
1782,3,5,5,NO
1783,4,3,3,NO
1784,5,2,2,NO
1785,2,2,2,NO
1786,5,4,4,NO
1787,1,4,4,No
1788,3,3,3,NO
1789,5,5,5,NO
1790,3,3,3,NO
1791,5,1,1,NO
1792,2,5,5,NO
1793,4,5,5,NO
1794,3,2,2,NO
1795,1,1,1,NO
1796,5,5,5,No
1797,2,2,2,NO
1798,4,3,3,No
1799,5,5,5,NO
1800,2,3,3,NO
1801,5,4,4,No
1802,3,5,5,NO
1803,1,2,2,NO
1804,5,5,5,NO
1805,3,1,1,NO
1806,2,3,3,No
1807,2,5,5,NO
1808,4,3,3,NO
1809,4,5,5,NO
1810,3,2,2,No
1811,5,4,4,NO
1812,3,3,3,NO
1813,1,1,1,NO
1814,5,5,5,NO
1815,5,2,2,No
1816,2,4,4,NO
1817,1,5,5,NO
1818,5,2,2,NO
1819,2,5,5,NO
1820,3,3,3,No
1821,5,1,1,NO
1822,3,5,5,NO
1823,4,3,3,NO
1824,5,2,2,NO
1825,2,2,2,NO
1826,5,4,4,NO
1827,1,4,4,No
1828,3,3,3,NO
1829,5,5,5,NO
1830,3,3,3,NO
1831,5,1,1,NO
1832,2,5,5,NO
1833,4,5,5,NO
1834,3,2,2,NO
1835,1,1,1,NO
1836,5,5,5,No
1837,2,2,2,NO
1838,4,3,3,No
1839,5,5,5,NO
1840,2,3,3,NO
1841,5,4,4,No
1842,3,5,5,NO
1843,1,2,2,NO
1844,5,5,5,NO
1845,3,1,1,NO
1846,2,3,3,No
1847,2,5,5,NO
1848,4,3,3,NO
1849,4,5,5,NO
1850,3,2,2,No
1851,5,4,4,NO
1852,3,3,3,NO
1853,1,1,1,NO
1854,5,5,5,NO
1855,5,2,2,No
1856,2,4,4,NO
1857,1,5,5,NO
1858,5,2,2,NO
1859,2,5,5,NO
1860,3,3,3,No
1861,5,1,1,NO
1862,3,5,5,NO
1863,4,3,3,NO
1864,5,2,2,NO
1865,2,2,2,NO
1866,5,4,4,NO
1867,1,4,4,No
1868,3,3,3,NO
1869,5,5,5,NO
1870,3,3,3,NO
1871,5,1,1,NO
1872,2,5,5,NO
1873,4,5,5,NO
1874,3,2,2,NO
1875,1,1,1,NO
1876,5,5,5,No
1877,2,2,2,NO
1878,4,3,3,No
1879,5,5,5,NO
1880,2,3,3,NO
1881,5,4,4,No
1882,3,5,5,NO
1883,1,2,2,NO
1884,5,5,5,NO
1885,3,1,1,NO
1886,2,3,3,No
1887,2,5,5,NO
1888,4,3,3,NO
1889,4,5,5,NO
1890,3,2,2,No
1891,5,4,4,NO
1892,3,3,3,NO
1893,1,1,1,NO
1894,5,5,5,NO
1895,5,2,2,No
1896,2,4,4,NO
1897,1,5,5,NO
1898,5,2,2,NO
1899,2,5,5,NO
1900,3,3,3,No
1901,,1,1,NO
1902,5,5,5,NO
1903,3,3,3,NO
1904,4,2,2,NO
1905,5,2,2,NO
1906,2,4,4,NO
1907,5,4,4,No
1908,1,3,3,NO
1909,3,5,5,NO
1910,5,3,3,NO
1911,3,1,1,NO
1912,5,5,5,NO
1913,2,5,5,NO
1914,4,2,2,NO
1915,3,1,1,NO
1916,1,5,5,No
1917,5,2,2,NO
1918,2,3,3,No
1919,4,,,NO
1920,5,,,NO
1921,2,,,No
1922,5,,,NO
1923,3,,,NO
1924,1,,,NO
1925,5,,,NO
1926,3,,,No
1927,2,,,NO
1928,2,,,NO
1929,4,,,NO
1930,4,,,No
1931,3,,5,NO
1932,5,,3,NO
1933,3,5,4,NO
1934,1,3,5,NO
1935,5,4,2,No
1936,5,5,5,NO
1937,2,2,1,NO
1938,1,5,3,NO
1939,5,1,5,NO
1940,2,3,3,No
1941,3,5,5,NO
1942,5,3,2,NO
1943,3,5,4,NO
1944,4,2,3,NO
1945,5,4,1,NO
1946,2,3,5,NO
1947,5,1,2,No
1948,1,5,4,NO
1949,3,2,5,NO
1950,5,4,2,NO
1951,3,5,5,NO
1952,5,2,3,NO
1953,2,5,1,NO
1954,4,3,5,NO
1955,3,1,3,NO
1956,1,5,2,No
1957,5,3,2,NO
1958,2,2,4,No
1959,4,2,4,NO
1960,5,4,3,NO
1961,2,4,5,No
1962,5,3,3,NO
1963,3,5,1,NO
1964,1,3,5,NO
1965,5,1,5,NO
1966,3,5,2,No
1967,2,5,1,NO
1968,2,2,5,NO
1969,4,1,2,NO
1970,4,5,3,No
1971,3,2,5,NO
1972,5,3,3,NO
1973,3,5,4,NO
1974,1,3,5,NO
1975,5,4,2,No
1976,5,5,5,NO
1977,2,2,1,NO
1978,1,5,3,NO
1979,5,1,5,NO
1980,5,3,4,No
1981,3,4,3,NO
1982,4,5,2,NO
1983,5,3,4,NO
1984,2,5,1,NO
1985,5,2,5,NO
1986,1,4,3,NO
1987,3,3,2,No
1988,5,1,3,NO
1989,3,5,3,NO
1990,5,3,4,NO
1991,2,2,5,NO
1992,4,5,3,NO
1993,3,4,2,NO
1994,1,5,1,NO
1995,5,4,5,NO
1996,2,2,4,No
1997,4,5,4,NO
1998,5,1,5,No
1999,2,4,4,NO
2000,5,5,1,NO
2001,3,3,3,No
2002,1,5,5,NO
2003,5,4,4,NO
2004,3,3,2,NO
2005,2,3,4,NO
2006,2,2,3,No
2007,4,5,4,NO
2008,4,1,2,NO
2009,3,4,5,NO
2010,5,5,4,No
2011,3,3,4,NO
2012,1,2,5,NO
2013,5,5,1,NO
2014,5,1,2,NO
2015,2,3,3,No
2016,1,5,4,NO
2017,5,4,3,NO
2018,2,2,4,NO
2019,3,3,2,NO
2020,5,5,5,No
2021,3,3,3,NO
2022,4,4,4,NO
2023,5,5,5,NO
2024,2,2,2,NO
2025,5,5,5,NO
2026,1,1,1,NO
2027,3,3,3,No
2028,5,5,5,NO
2029,3,3,3,NO
2030,5,5,5,NO
2031,2,2,2,NO
2032,4,4,4,NO
2033,3,3,3,NO
2034,1,1,1,NO
2035,5,3,4,NO
2036,3,4,3,No
2037,4,5,2,NO
2038,5,3,4,No
2039,2,5,1,NO
2040,5,2,5,NO
2041,1,4,3,No
2042,3,3,2,NO
2043,5,1,3,NO
2044,3,5,3,NO
2045,5,3,4,NO
2046,2,2,5,No
2047,4,5,3,NO
2048,3,4,2,NO
2049,1,5,1,NO
2050,5,4,5,No
2051,2,2,4,NO
2052,4,5,4,NO
2053,5,1,5,NO
2054,2,4,4,NO
2055,5,5,1,No
2056,3,3,3,NO
2057,1,5,5,NO
2058,5,4,4,NO
2059,3,3,2,NO
2060,2,3,4,No
2061,2,2,3,NO
2062,4,5,4,NO
2063,4,1,2,NO
2064,3,4,5,NO
2065,5,5,4,NO
2066,3,3,4,NO
2067,1,2,5,No
2068,5,5,1,NO
2069,5,1,2,
2070,2,3,3,
2071,1,5,4,
2072,5,4,3,
2073,2,2,4,No
2074,3,3,2,No
2075,5,5,5,No
2076,3,3,3,No
2077,4,4,4,No
2078,5,5,5,No
2079,2,2,2,No
2080,5,5,5,No
2081,1,1,1,No
2082,3,3,3,No
2083,5,5,5,No
2084,3,3,3,No
2085,5,5,5,No
2086,2,2,2,No
2087,4,4,4,No
2088,3,3,3,No
2089,1,1,1,No
2090,5,5,5,No
2091,2,2,2,No
2092,4,4,4,No
2093,5,5,5,No
2094,2,2,2,No
2095,5,5,5,No
2096,3,3,3,No
2097,1,1,1,No
2098,5,5,5,No
2099,3,3,3,No
2100,2,2,2,No
2101,2,2,2,No
2102,4,4,4,No
2103,4,4,4,
2104,3,3,3,
2105,5,5,5,
2106,3,3,3,
2107,1,1,1,
2108,5,5,5,
2109,5,5,5,
2110,2,2,2,
2111,1,1,1,
2112,5,5,5,
2113,2,2,2,
2114,3,3,3,
2115,5,5,5,
2116,3,3,3,
2117,5,3,4,
2118,3,4,3,
2119,4,5,2,
2120,5,3,4,
2121,2,5,1,
2122,5,2,5,
2123,1,4,3,
2124,3,3,2,
2125,5,1,3,
2126,3,5,3,
2127,5,3,4,
2128,2,2,5,
2129,4,5,3,
2130,3,4,2,
2131,1,5,1,
2132,5,4,5,
2133,2,2,4,
2134,4,5,4,
2135,5,1,5,
2136,2,4,4,
2137,5,5,1,
2138,3,3,3,
2139,1,5,5,
2140,5,4,4,
2141,3,3,2,
2142,2,3,4,
2143,2,2,3,
2144,4,5,4,
2145,4,1,2,
2146,3,4,5,
2147,5,5,4,
2148,3,3,4,
2149,1,2,5,
2150,5,5,1,
2151,5,1,2,
2152,2,3,3,
2153,1,5,4,
2154,5,4,3,
2155,2,2,4,
2156,3,3,2,
2157,5,5,5,
2158,3,3,3,
2159,4,4,4,
2160,5,5,5,
2161,2,2,2,
2162,5,5,5,
2163,1,1,1,
2164,3,3,3,NO
2165,5,5,5,NO
2166,3,3,3,NO
2167,5,5,5,NO
2168,2,2,2,NO
2169,4,4,4,NO
2170,3,3,3,NO
2171,1,1,1,NO
2172,5,5,5,NO
2173,2,2,2,NO
2174,4,4,4,NO
2175,5,5,5,NO
2176,2,2,2,NO
2177,5,5,5,NO
2178,3,3,3,NO
2179,1,1,1,NO
2180,5,5,5,NO
2181,3,3,3,NO
2182,2,2,2,NO
2183,2,2,2,NO
2184,4,4,4,NO
2185,4,4,4,NO
2186,3,3,3,NO
2187,5,5,5,NO
2188,3,3,3,NO
2189,1,1,1,NO
2190,5,5,5,NO
2191,5,5,5,NO
2192,2,2,2,NO
2193,1,1,1,NO
2194,5,5,5,NO
2195,2,2,2,NO
2196,3,3,3,
2197,5,5,5,
2198,3,3,3,
2199,4,4,4,
2200,5,5,5,
2201,2,2,2,
2202,5,5,5,
2203,1,1,1,
2204,3,3,3,
2205,5,5,5,
2206,3,3,3,
2207,5,5,5,
2208,2,2,2,
2209,4,4,4,
2210,3,3,3,
2211,1,1,1,
2212,5,5,5,
2213,2,2,2,
2214,4,4,4,
2215,5,5,5,
2216,2,2,2,
2217,5,5,5,
2218,3,3,3,
2219,1,1,1,
2220,5,5,5,NO
2221,3,3,3,NO
2222,2,2,2,NO
2223,2,2,2,NO
2224,4,4,4,NO
2225,4,4,4,NO
2226,3,3,3,NO
2227,5,5,5,No
2228,3,3,3,NO
2229,1,1,1,No
2230,5,5,5,NO
2231,5,5,5,NO
2232,2,2,2,No
2233,1,1,1,NO
2234,5,5,5,NO
2235,2,2,2,NO
2236,3,3,3,NO
2237,5,5,5,No
2238,3,3,3,NO
2239,4,4,4,NO
2240,5,5,5,NO
2241,2,2,2,No
2242,5,5,5,NO
2243,1,1,1,NO
2244,3,3,3,NO
2245,5,5,5,NO
2246,3,3,3,No
2247,5,5,5,NO
2248,2,2,2,NO
2249,4,4,4,NO
2250,3,3,3,NO
2251,1,1,1,No
2252,5,5,5,NO
2253,2,2,2,NO
2254,4,4,4,NO
2255,5,5,5,NO
2256,2,2,2,NO
2257,5,5,5,NO
2258,3,3,3,No
2259,1,1,1,NO
2260,5,5,5,NO
2261,3,3,3,NO
2262,2,2,2,NO
2263,2,2,2,NO
2264,4,4,4,NO
2265,4,4,4,NO
2266,3,3,3,NO
2267,5,5,5,No
2268,3,3,3,NO
2269,1,1,1,No
2270,5,5,5,NO
2271,5,5,5,NO
2272,2,2,2,No
2273,1,1,1,NO
2274,5,5,5,NO
2275,2,2,2,NO
2276,3,3,3,NO
2277,5,5,5,No
2278,3,3,3,NO
2279,4,4,4,NO
2280,5,5,5,NO
2281,2,2,2,No
2282,5,5,5,NO
2283,1,1,1,NO
2284,3,3,3,NO
2285,5,5,5,NO
2286,3,3,3,No
2287,5,5,5,NO
2288,2,2,2,NO
2289,4,4,4,NO
2290,3,3,3,NO
2291,1,1,1,No
2292,5,5,5,NO
2293,2,2,2,NO
2294,4,4,4,NO
2295,5,5,5,NO
2296,2,2,2,NO
2297,5,5,5,NO
2298,3,3,3,No
2299,1,1,1,NO
2300,5,5,5,NO
2301,3,3,3,NO
2302,2,2,2,NO
2303,2,2,2,NO
2304,4,4,4,NO
2305,4,4,4,NO
2306,3,3,3,NO
2307,5,5,5,No
2308,3,3,3,NO
2309,1,1,1,No
2310,5,5,5,NO
2311,5,5,5,NO
2312,2,2,2,No
2313,1,1,1,NO
2314,5,5,5,NO
2315,2,2,2,NO
2316,3,3,3,NO
2317,5,5,5,No
2318,3,3,3,NO
2319,4,4,4,NO
2320,5,5,5,NO
2321,2,2,2,No
2322,5,5,5,NO
2323,1,1,1,NO
2324,3,3,3,NO
2325,5,5,5,NO
2326,3,3,3,No
2327,5,5,5,NO
2328,2,2,2,NO
2329,4,4,4,NO
2330,3,3,3,NO
2331,1,1,1,No
2332,5,5,5,NO
2333,2,2,2,NO
2334,4,4,4,NO
2335,5,5,5,NO
2336,2,2,2,NO
2337,5,5,5,NO
2338,3,3,3,No
2339,1,1,1,NO
2340,5,5,5,NO
2341,3,3,3,NO
2342,2,2,2,NO
2343,2,2,2,NO
2344,4,4,4,NO
2345,4,4,4,NO
2346,3,3,3,NO
2347,5,5,5,No
2348,3,3,3,NO
2349,1,1,1,No
2350,5,5,5,NO
2351,5,5,5,NO
2352,2,2,2,No
2353,1,1,1,NO
2354,5,5,5,NO
2355,2,2,2,NO
2356,3,3,3,NO
2357,5,5,5,No
2358,3,3,3,NO
2359,4,4,4,NO
2360,5,5,5,NO
2361,2,2,2,No
2362,5,5,5,NO
2363,1,1,1,NO
2364,3,3,3,NO
2365,5,5,5,NO
2366,3,3,3,No
2367,5,5,5,NO
2368,2,2,2,NO
2369,4,4,4,NO
2370,3,3,3,NO
2371,1,1,1,No
2372,5,5,5,NO
2373,2,2,2,NO
2374,4,4,4,NO
2375,5,5,5,NO
2376,2,2,2,NO
2377,5,5,5,NO
2378,3,3,3,No
2379,1,1,1,NO
2380,5,5,5,NO
2381,3,3,3,NO
2382,2,2,2,NO
2383,2,2,2,NO
2384,4,4,4,NO
2385,4,4,4,NO
2386,3,3,3,NO
2387,5,5,5,No
2388,3,3,3,NO
2389,1,1,1,No
2390,5,5,5,NO
2391,5,5,5,NO
2392,2,2,2,No
2393,1,1,1,NO
2394,5,5,5,NO
2395,2,2,2,NO
2396,3,3,3,NO
2397,5,5,5,No
2398,3,3,3,NO
2399,4,4,4,NO
2400,5,5,5,NO
2401,2,2,2,No
2402,5,5,5,NO
2403,1,1,1,NO
2404,3,3,3,NO
2405,5,5,5,NO
2406,3,3,3,No
2407,5,5,5,NO
2408,2,2,2,NO
2409,4,4,4,NO
2410,3,3,3,NO
2411,1,1,1,No
2412,5,5,5,NO
2413,2,2,2,NO
2414,4,4,4,NO
2415,5,5,5,NO
2416,2,2,2,NO
2417,5,5,5,NO
2418,3,3,3,No
2419,1,1,1,NO
2420,5,5,5,NO
2421,3,3,3,NO
2422,2,2,2,NO
2423,2,2,2,NO
2424,4,4,4,NO
2425,4,4,4,NO
2426,3,3,3,NO
2427,5,5,5,No
2428,3,3,3,NO
2429,1,1,1,No
2430,5,5,5,NO
2431,5,5,5,NO
2432,2,2,2,No
2433,1,1,1,NO
2434,5,5,5,NO
2435,2,2,2,NO
2436,3,3,3,NO
2437,,5,5,No
2438,,3,3,NO
2439,,4,4,NO
2440,,5,5,NO
2441,,2,2,No
2442,,5,5,NO
2443,,1,1,NO
2444,,3,3,NO
2445,,5,5,NO
2446,,3,3,No
2447,,5,5,NO
2448,,2,2,NO
2449,,4,4,NO
2450,,3,3,NO
2451,,1,1,No
2452,,5,5,NO
